question,answer
Kann daher in Frankreich von einer Zweiteilung der Justiz gesprochen werden?,"Nein! ﻿Denn die strikte Gewaltenteilung verbietet eine zweigeteilte Gerichtsbarkeit. Vielmehr ist die Verwaltung geteilt in die aktive Verwaltung und denjenigen Teil, der diese Kontrolliert (mit der Verwaltungsgerichtsbarkeit vergleichbar). Es gibt nur ﻿eine Justiz﻿, die alleine die ordentliche Gerichtsbarkeit betrifft."
Was verstärkte die Entwicklung einer unabhängigen Verwaltungsgerichtsbarkeit ab der Mitte des 19. Jahrhunderts?,"Die unabhängige Verwaltungsgerichtsbarkeit wurde durch drei differente Phänomene bestärkt: Verwaltung und Rechtsprechung wurden zunehmend beim Staat konzentriert Die staatlichen Aufgaben nahmen zu, was eine Kontrolle notwendiger machte Liberalisierungstendenzen in der Gesellschaft und Bild einer freiheitlichen (staatsfreien) Sphäre eines jeden Bürgers"
Warum gibt es in Großbritannien bis heute keine eigenständige Verwaltungsgerichtsbarkeit?,In Großbritannien herrscht die Vorstellung der ﻿Parlamentssuprematie ﻿vor. Demnach ist das demokratisch legitimierte Parlament niemandem gegenüber Verantwortlich und die Gerichte setzen alleine den Willen des Gesetzgebers um. Auch die Verwaltung ist alleine dem Gesetzgeber gegenüber verantwortlich und nicht den Gerichten. Auch verbot der Kompetenztitel der Prärogativrechte der Krone eine gerichtliche Kontrolle.
Was meint der Begriff ﻿discretion ﻿in der britischen Verwaltungsgerichtsbarkeit?,"Der Begriff der discretion meint hier eine Zurückhaltung gegenüber den Entscheidungen des Gesetzgebers (Parlamentssuprematie). Zwar können sowohl die Courts als auch die (um eine Behörde ad hoc gebildeten) Tribunals Verwaltungsentscheidungen überprüfen. Allerdings wird der Fokus viel stärker auf den gesetzgeberischen Willen gelenkt, weshalb auch Verfahrensverletzungen eine erheblich größere Bedeutung spielen als in der deutschen Verwaltungsrechtsordnung."
Welche Zwecke erfüllt das Verwaltungsorganisationsrecht?,"Das Verwaltungsorganisationsrecht dient in erster Line der funktionalen Differenzierung staatlicher Tätigkeit. Aus der Binnenperspektive trägt dieser Umstand dazu bei, Verwaltungsabläufe konsistent zu gliedern und zu steuern.In einer ﻿Außenperspektive ﻿kann die Verwaltungstätigkeit dadurch ﻿einheitsbildend dem Staat zugerechnet ﻿werden. Diese Einheitlichkeit vereinfacht die Rechtskommunikation Privater mit dem Staat."
Was meint Rechtsträgerschaft im verwaltungsorganisationsrechtlichen Sinne?,"Die Rechtsträgereigenschaft ist ﻿relativ ﻿und kann daher nicht pauschal bestimmt werden. Versucht man die Rechtsträgereigenschaft dennoch zu pauschalieren, so kann man sie beschreiben als juristische Person, der selbst nicht rechtsfähige Verwaltungseinheiten eingegliedert sind. Nichtsdestotrotz kommt den juristischen Personen immer nur diejenige Rechtsfähigkeit zu, wie eine bestimmte Norm (des öffentlichen Rechts) sie zum Zurechnungssubjekt der Erfüllung öffentlich-rechtlicher Pflichten macht. Mithin hängt diese Klassifizierung immer auch von dem spezifischen Rechtsverhältnis ab, dass durch entsprechende Normen vermittelt wird."
Was versteht man unter dem Begriff der normativen Verwaltungsträgereigenschaft?,"Grundsätzlich charakterisiert man einen Verwaltungsträger anhand seiner Rechtsfähigkeit im normierten Kontext (Zurechnungssubjekt der staatlichen Befugnis). Allerdings kann man anhand dessen nicht pauschal einem Verwaltungsträger bestimmte Eigenschaften zusprechen. Vielmehr ist es ﻿umgekehrt﻿. Nur weil ein Rechtssubjekt im normativen Kontext des konkreten Rechtsverhältnisses als Träger von Rechten und Pflichten sowie als Zurechnungssubjekt beschrieben wird, kann es auch als Verwaltungsträger eingestuft werden."
"Können auch privatrechtliche Verwaltungsträger existieren und wenn ja, welche Unterschiede bestehen zu den öffentlich-rechtlichen?","Verwaltungsträger können auch privatrechtlicher Natur sein. Diese Notwendigkeit ergibt sich bereits daraus, dass es keinen Numerus Clausus im Hinblick auf die Organisation der Verwaltungseinheiten gibt. Voraussetzung ist nur, dass es sich um juristische Personen des Privatrechts handelt, ihnen also grundsätzlich Rechtsfähigkeit zugestanden wird. Ob ihnen aber auch im Bereich des öffentlichen Rechts Rechtsfähigkeit zukommt, entscheiden diejenigen öffentlich-rechtlichen Normen, die im jeweiligen Kontext bestimmte Rechte und Pflichten zurechnen. Ob es sich dagegen um einen privatrechtlichen Verwaltungsträger handelt, hängt alleine von den Normen ab, die seine Errichtung bestimmen (BGB, AktG, GmbHG). Zu beachten ist aber auch, dass privatrechtliche Verwaltungsträger auch an die privatrechtlichen Handlungsformen gebunden sind und daher in der Regel alleine im Bereich der Leistungsverwaltung anzutreffen sind."
Was versteht man unter der Beleihung und welchen Zweck erfüllt sie?,"Die Beleihung ist eine besondere Form der privatrechtlichen Verwaltungsträgerschaft. Ihm kommt kraft öffentlich-rechtlicher Vorschriften im konkreten Rechtsverhältnis die Eigenschaft als Zurechnungssubjekt zu. Im Unterschied zu sonstigen privatrechtlichen Verwaltungsträgern, wird er kraft der normativen Zuweisung hoheitlich, das heißt im Wege der öffentlich-rechtlichen Handlungsform tätig. Den ﻿Zweck ﻿der Beleihung kann man darin sehen, dass die privaten in hoheitlichem gewandt mit entsprechender Praktikabilität und Ortsnähe ihr Wissen der Erfüllung öffentlicher Aufgaben zur Verfügung stellen."
Was versteht man unter mittelbarer und unmittelbarer Staatsverwaltung?,"Unmittelbare Staatsverwaltung sind diejenigen Organe, die ohne selbst Verwaltungsträger zu sein unmittelbar einem (Haupt)Verwaltungsträger zuzurechnen sind. Dabei darf auch keine sonst rechtsfähige Person zwischengeschaltet sein.Die ﻿mittelbarer Staatsverwaltung ﻿meint die Zuordnung eigener Verwaltungsträger in den Rechtskreis eines (Haupt)Verwaltungsträgers (Kommune z.B.). Dabei ist wiederum entscheidend, dass die mittelbare Staatsverwaltung selbst über nichtrechtsfähige Organe verfügen kann"
Welche Arten von ﻿Haupt﻿verwaltungsträgern kann man im Kontext der mittelbaren und unmittelbaren Staatsverwaltung unterscheiden?,"﻿Zum einen ﻿kann der Hauptverwaltungsträger als derjenige angesehen werden, der kraft verfassungsrechtlicher Zuweisung als Gebietskörperschaft mit besonderen Rechten ausgestattet ist (Bund, Land und Kommune)﻿Zum anderen ﻿wird dagegen angeführt, dass Hauptverwaltungsträger nur diejenigen der ﻿föderativen Verbandskompetenz ﻿sein können. Mithin kann es nur mittelbare Bundes- oder Landesverwaltung geben. Die gänzliche Kommunalverwaltung und die ihr zugeordneten nichtrechtsfähigen Organe sind daher der mittelbaren Landesverwaltung zuzuschlagen und kein eigenständiger Hauptverwaltungsträger"
Zeichnen Sie die Binnenorganisation der Verwaltung anhand der drei wesentlichen Elemente nach und erläutern Sie deren Bedeutung!,"Die Binnenstruktur der Verwaltung lässt sich grob in den Verwaltungsträger (Rechtsträger), das Organ sowie das jeweilige Amt unterteilen.Das Organ beschreibt dabei eine Funktionseinheit des Organisationsträgers, der diesen erst Handlungsfähig macht. Es handelt sich um (funktionsteilige und nicht rechtsfähige) Rechtssubjekte, welche zuständigkeitsbezogen die Aufgaben der jeweiligen Organträger wahrnehmen. Ihnen wird das Verhalten des jeweiligen (natürlichen) Organwalters zugerechnetDas Organ eines öffentlich-rechtlichen Verwaltungsträgers nennt man Behörde. Sie ist im Gegensatz zu Organen anderer Verwaltungsträger zur Wahrnehmung hoheitlicher Befugnisse berufen Das ﻿Amt ﻿im organisationsrechtlichen Sinne ﻿ist die Gesamtheit der auf eine natürliche Person entfallenden Wahrnehmungszuständigkeiten. Hierdurch wird die Verwaltung gewissermaßen entpersonalisiert. Davon zu unterscheiden ist noch das Amt im statusrechtlichen sowie im funktionellen Sinne (statusadäquate Zuweisung zu einer Behörde)"
Welche organisationsrechtlichen Behördenbegriffe werden unterschieden?,"Eine Behörde im funktionellen Sinne ist jede Verwaltungseinheit mit Organcharakter, soweit sie im Außenverhältnis zur Wahrnehmung von Verwaltungszuständigkeiten berufen ist. Dabei ist gleichgültig, welchem Verwaltungsträger sie zuzuordnen ist. Mithin kann sie auch in einigen Rechtsbeziehungen, in denen sie gerade nicht Berufen ist nur Organ eines Verwaltungsträgers seinEine Behörde im organisatorisch-institutionellen Sinne ist jedoch ein Organ, dass einem spezifischen Verwaltungsträger kraft Einrichtung zuzuordnen ist. Sie ist mithin stets Behörde "
Was ist der Unterschied zwischen dekonzentrierter und dezentralisierter Staatsverwaltung und welche Rolle spielt dabei die Selbstverwaltung? ,"Neben der formalen Verselbstständigung, kann die Staatsverwaltung auch im Wege der materiellen Verselbstständigung den Inhalt der Aufgabenwahrnehmung delegieren. Man differenziert insoweit die Dekonzentration sowie die Dezentralisierung: Dekonzentrierte Verwaltungseinheiten sind Rechtssubjekte (auch rechtsfähig), die selbstständig, aber weisungsabhängig bestimmte Aufgaben wahrnehmen und Subjekt von Zuständigkeiten sind Dezentralisierte Verwaltungseinheiten dagegen, nehmen ihre selbstständigen Aufgaben alleine unter einer staatlichen Rechtsaufsicht wahr, sind als fachweisungsfrei. Die ﻿Selbstverwaltung ﻿lässt sich letzterem zuschlagen, da sie kraft Verfassung (jedenfalls kommunal) eigenständige Aufgabenbereiche selbstständig und weisungsfrei wahrnehmen dürfen"
Welche Formen der Selbstverwaltung werden funktional unterschieden?,"Die kommunale Selbstverwaltung nimmt eigenverantwortlich und materiell selbstständig (verfassungsrechtlich) zugewiesene Aufgaben selbstständig wahr Die funktionale Selbstverwaltung ist durch Gesetz eingerichtet und nimmt die darin zum Ausdruck gebrachten öffentlichen Aufgaben im eigenen Namen wahr. Sie ist wiederum zu klassifizieren in: grundrechtstragende funktionale Selbstverwaltung: Hierdurch wird die Wahrnehmung von grundrechtlichen Freiheiten (zumeist institutionell) abgesichert (Universitäten, Religionsgemeinschaften)﻿nichtgrundrechtstragende Selbstverwaltungseinheiten ﻿(soziale und wirtschaftliche funktionale Selbstverwaltung)"
Definieren Sie die Körperschaft des öffentlichen Rechts und ordnen Sie sie in das Gefüge von mittelbarer und unmittelbarer Staatsverwaltung ein!,"Die Körperschaft des Öffentlichen Rechts (KöR) ist eine rechtsfähige, mitgliedschaftlich verfasste und mit Hoheitsgewalt ausgestattete Organisationseinheit des Öffentlichen Rechts, die unabhängig vom Wechsel ihrer Mitglieder besteht. Dadurch, dass sie stets ﻿rechtsfähig ﻿ist, kann sie ﻿nicht ﻿der unmittelbaren Staatsverwaltung zugeschlagen werden. Mithin kann es sich alleine um eigene Hauptverwaltungsträger handeln (Bund und Länder als Gebietskörperschaften) oder aber sie sind Teil der ﻿mittelbaren Staatsverwaltung﻿, da sie auch selbst Träger nicht rechtsfähiger Organe und Behörden sein können. In der Regel sind sie durch Rechtssatz eingerichtet und mit der selbstständigen Wahrnehmung eigener Rechte und Pflichten betraut. "
Welche Rechtsbeziehungen stehen nach tradiertem Verständnis in den einzelnen Rechtsgebieten im Mittelpunkt?,Das Privatrecht ist gekennzeichnet durch die Rechtsbeziehung der Bürger untereinander (horizontal) und beruht auf deren Privatautonomie. Diese Disziplin ist - vermeintlich - frei von staatlicher Einflussnahme. Das Öffentliche Recht dagegen kennzeichnet eine vertikale Rechtsbeziehung zwischen dem Gewaltmonopol des Staates und dem freiheitlichen Individuum.
Was meint die apriorische Unterscheidung von Privatrecht und Öffentlichem Recht? ,"Eine ﻿apriorische Unterscheidung ﻿meint in diesem Falle, dass sich die Rechtswissenschaft und auch ihre Methodik von Beginn an dieser Unterscheidung zwischen Privatrecht und Öffentlichem Recht orientiert. Sie geht der inhaltlich-disziplinären Auseinandersetzung mit und innerhalb der Rechtsgebiete voraus."
Skizzieren Sie die historische Entwicklung der Differenzierung im deutschen Recht!,"Bereits in den Digesten erfolgte eine Abgrenzung, nach welcher das Öffentliche Recht das Staatswesen und seine Struktur regelt, während das Privatrecht die Interessen des Einzelnen bestimmtEin tatsächliches Staatsrecht bildet sich aber erst ab Mitte des 17. Jh. mit der Ausbildung von Territorialstaaten heraus, in denen die Policey eine Beziehung zwischen Bürger und Staat herstellt. Allerdings beschränkte sich die Differenzierung hier zunächst auf das ius civile und das ius gentium (Völkerrecht)Erst mit der Freiheitssemantik und der Vorstellung eines freiheitlichen Raumes des Einzelnen Bürgers (Eingriffsrecht), entwickelte sich ein vertikales Rechtsverhältnis "
Welche dogmatische Grundentscheidung ist (noch) prägend für die Unterscheidung?,In der deutschen Rechtsordnung erfolgt eine strikte dogmatische Trennung insbesondere bei der Zuweisung der Rechtswege und immanent mit der Zuordnung von Normen und Handlungsformen: Modifizierte Subjektstheorie (Träger hoheitlicher Gewalt)Subordinationsverhältnis Verfolgung öffentlicher oder privater Interessen Sind die Akteure Träger von Hoheitsgewalt oder liegt ein eher horizontales Verhältnis vor  Diese Abgrenzung erscheint aber gerade vor dem Hintergrund der Rechtsweggarantie in Art. 19 Abs. 4 GG eher relativ.
Welche Überschneidungspunkte nivellieren die kategoriale Unterscheidbarkeit von Öffentlichem Recht und Privatrecht?,"Es gibt viele Aspekte, die sich als Grenze der kategorialen Unterscheidung darstellen:  Beide Teilrechtsordnungen berufen sich auf die individuelle Freiheit als Kern und gestalten bzw. begrenzen diese Zudem teilen sie sich Rechtsfiguren und -gehalte. So sind etwa Vertrag, Haftungsausgleich und Verhältnismäßigkeit Aspekte beider Ordnungen, sodass sie gegenseitig methodisch sogar profitieren könnenAuch haben sie geteilte funktionelle Wirkungen in Bereichen, in denen eine Teilrechtsordnung schlicht nicht mehr ausreicht (Wettbewerbsrecht, Regulierungsrecht). Auch die unionsrechtliche Determination trägt hierzu entscheidend beiPublifizierung des Privatrechts und Privatisierung des öffentlichen Rechts Sozialstaatliche Überformung des Privatrechts (AGG etc.). Zuständigkeit desselben verfassungsrechtlich determiniertes Gesetzgebers Kooperierende Normsetzung öffentlich-rechtlicher Normen; Privatisierung des Gemeinwohls durch Verbandsklagen Privater und hoheitsgleicher Machtzuwachs durch private Normsetzung oder Korporatismus; private Macht geht über die Summe der ihr zugrunde liegenden privatrechtlichen Machtverhältnisse hinaus"
Wie kann die aufweichende Unterscheidung aufgefangen werden?,"Zunächst wird in der rechtswissenschaftlichen Dogmatik eine Unterscheidbarkeit vorausgesetzt und diese so von den theoretisch-disziplinären Fragen abgelöst, die eine Unterscheidbarkeit in Frage stellen können (Rechtsweg etc.)Die Institutionen, Begriffe und rechtlichen Konzepte werden ﻿funktional idealisiert﻿. Mit dem Begriff des Staates verknüpft man ein dem Bürger fremdes Subjekt, das sich an einer von ihm geschaffenen Zwangsordnung bedient, während das Privatrechtswesen eine unpolitische Einheit ist, die autonom ihre Konflikte selbstständig regelt"
Warum ist eine Unterscheidung überhaupt notwendig?,"Auf der einen Seite erscheint die Unterscheidung Grundlage der Rechtswissenschaft zu sein. Denn die trennscharfe Unterscheidung vermittelt den Eindruck nachvollziehbarer Entscheidungen und so von Rechtsstaatlichkeit. Auch wird die ﻿Rechtswissenschaft ﻿als Disziplin stabilisiert und so zum Gegenstand wissenschaftlicher Erkenntnis gemacht. Auch dienen die getrennten Rechtsgebiete als Identifikationsfiguren einer gespaltenen Wissenschaftskultur, sodass sich das Privatrecht ohne die kategoriale Unterscheidung nicht mehr auf die freiheitliche und unpolitische Individualrechtsordung stützen könnte "
Welche konkreten Überschneidungspunkte gibt es zwischen den Teilrechtsordnungen?,"Insbesondere werden Normen und Begriffsverständnisse der anderen Disziplin in den Teilrechtsordnungen rezipiert - unabhängig von einer vollständigen Überformung: Übernahme zivilrechtlicher Begriffsverständnisse für die Auslegung verwaltungsrechtliche Normen sowie die subsidiäre Geltung der Privatrechtsordnung (vgl. etwa § 62 S. 2 VwVfG); Verweis auf privatrechtliche Regressansprüche oder aber privat gesetzte Standards (DIN etc.)Öffentlich-rechtliche Normen haben dagegen Einfluss etwa auf die Wirksamkeit von Rechtsgeschäften (§ 134 BGB) oder aber es wird auf immissionsschutzrechtliche Grenzwerte im Nachbarschutzrecht rekurriert (§ 906 BGB)Verbundlösungen, sodass privatrechtliche Instrumente zur Erreichung öffentlicher Ziele herangezogen werden oder aber Entscheidungen im öffentlich-rechtlichem Rahmen durch privatrechtliche Aushandlungsprozesse getroffen werden Implementierung Privater in den Verwaltungsprozess etwa durch Beleihung oder aber die Tätigkeit als Verwaltungshelfer; für die Abgrenzung entscheidend ist, ob der Private die Tätigkeit im eigenen Namen und unter Wahrnehmung hoheitlicher (durch Gesetz zugewiesener) Befugnisse wahrnimmt - in diesem Fall ist eine Beleihung gegeben und die Behörde hat keine Letztentscheidungskompetenz"
"Welcher Kritik sieht sich die alte"" Verwaltungsrechtswissenschaft gegenüber?""","Die maßgeblichen Kritikpunkte beschränkten sich auf Vollzugsdefizite im Umweltrecht sowie darauf, dass bereits in der Verwaltungspraxis Kooperationsmechanismen ausgestaltet wurden.  Diese schienen den tradierten ordnungsrechtlichen Mechanismen überlegen, weshalb Überlegungen aufkamen, diese zu konsolidieren. Innerhalb der bestehenden Verwaltungsrechtswissenschaft kam man dagegen nicht zu dem Schluss diese in das bestehende System zu implementieren, sondern alleine, welche Grenzen das bestehende (dogmatisierte) System dem neuen informellen Verwaltungshandeln aufzeigt."
